Project,Address,Round,Matching Amount
Avano [Panvala League]- Decentralized Environmental Offsets (aka Beyond Carbon Credits),0x3C8281c8786ab29Bcab5B33566968f8011ea6A59,GR14 (Jun 2022),65990.788
Avano [Panvala League]- Decentralized Environmental Offsets (aka Beyond Carbon Credits),0x3C8281c8786ab29Bcab5B33566968f8011ea6A59,GR15 (Sep 2022),3473.76761
Coffee Impact Collective,0x3cc9f396430bc766ac8aa57fc28aebc5919a5d81,GG18 (Aug 2023),1632.54656
Coffee Impact Collective,0x3cc9f396430bc766ac8aa57fc28aebc5919a5d81,GG19 (Nov 2023),1023.37623
Coffee Impact Collective,0x3Cc9F396430bC766AC8aa57fc28aeBc5919A5d81,Beta (May 2023),1037.19091
Coffee Carbon Collective: regenerative financing for coffee farmers,0x3Cc9F396430bC766AC8aa57fc28aeBc5919A5d81,GR15 (Sep 2022),1410.04925
DAO of interpreters and translators for climate projects,0x3d7CFE9D00436d49178576dC2Be9Adaaad35a775,GR14 (Jun 2022),15.3101827
DAO of interpreters and translators for climate projects,0x3d7CFE9D00436d49178576dC2Be9Adaaad35a775,GR15 (Sep 2022),0.74274888
JacksonMSDAO: Raising funds for emergency aid and R&D to support communities affected by water crises and long-term sustainable solutions,0x3D86BFC94f304E888f778396269e0fB54A665896,GR15 (Sep 2022),188.35044
Hazel - Mobile Game That Fights Climate Change,0x3F34181A59C7EbD971aa629A5E05109486242375,Beta (May 2023),344.710174
Hazel - Gamifying Carbon Removal For Consumers Using Web3 Technology,0x3F34181A59C7EbD971aa629A5E05109486242375,GR15 (Sep 2022),60.2380834
ALTERNUN,0x3f4224e134eadb9ead94490d50ac3a34e897c4ed,GG19 (Nov 2023),763.012063
Proof of Zero,0x3fa2284d9320badD6C1c1200FaaCfFA0aB54b669,Beta (May 2023),40.5741273
Aluxes,0x40636c38f9114b89a89f06c7377aa26c79800577,GG19 (Nov 2023),1136.06192
Astral Protocol,0x41dde2dc7f718d5f764fc97e8d122864587642d4,Alpha (Jan 2023),25923.18
Astral,0x41dde2dc7f718d5f764fc97e8d122864587642d4,GG19 (Nov 2023),1501.91356
Astral Protocol,0x41DdE2Dc7f718D5F764fc97e8d122864587642d4,Beta (May 2023),1086.62624
✨ Astral — Spatial data on the decentralized web,0x41DdE2Dc7f718D5F764fc97e8d122864587642d4,GR13 (Mar 2022),51052.8134
✨ Astral — Spatial data on the decentralized web,0x41DdE2Dc7f718D5F764fc97e8d122864587642d4,GR14 (Jun 2022),74869.3511
✨ Astral — Spatial data on the decentralized web,0x41DdE2Dc7f718D5F764fc97e8d122864587642d4,GR15 (Sep 2022),2950.43432
Biolumen,0x423f505479a50264f14730bb8ffcdee67da11d56,GG18 (Aug 2023),913.960669
Biolumen,0x423f505479a50264f14730Bb8fFCdeE67DA11d56,Beta (May 2023),93.1587051
Biolumen Project,0x423f505479a50264f14730Bb8fFCdeE67DA11d56,GR14 (Jun 2022),0.14885991
Biolumen Project,0x423f505479a50264f14730Bb8fFCdeE67DA11d56,GR15 (Sep 2022),0.19247638
Sympoiesis,0x435CD42591cC503a909085c3d3d2899d17032F77,Beta (May 2023),1103.78494
ReConnection Tech,0x435CD42591cC503a909085c3d3d2899d17032F77,GR15 (Sep 2022),1.52425397
Sunrise Stake,0x43fa25b52f64d2de6fc62f9ac92f1b96a3c4096e,GG19 (Nov 2023),1209.6316
GreenWorld,0x44d5bf6da9086e586f6b35f51927fdecd7d3b645,GG19 (Nov 2023),781.961071
Bundle: Emerging Economies and Indigenous Communities,0x4574e76cbb9891a90d46b0788cc4094b9275b61e,Alpha (Jan 2023),4159.14
Solarpunk Nomads: building the first two Public Goods adventure vehicles,0x474716e617fea8898d4fa9d891aa67b5bedd6c4b,Alpha (Jan 2023),13262.91
"Solarpunk nomads: eco vehicles, routes and Solarpunk World Building",0x474716e617fea8898d4fa9d891aa67b5bedd6c4b,GG18 (Aug 2023),6499.16928
Solarpunk Nomads: Nomad Hub and Climate Resilience Tracker,0x474716e617fea8898d4fa9d891aa67b5bedd6c4b,GG19 (Nov 2023),3030.12411
Solarpunk nomads: tracing nomadic routes with the first two public goods adventure vehicles,0x474716e617FEa8898D4fa9D891AA67B5BEDd6C4b,Beta (May 2023),4084.32832
SOLARPUNK NOMADS,0x474716e617FEa8898D4fa9D891AA67B5BEDd6C4b,GR14 (Jun 2022),1600.22492
Artists for Climate - using art to solve the Climate Emergency,0x474716e617FEa8898D4fa9D891AA67B5BEDd6C4b,GR15 (Sep 2022),2340.84036
Realtime Climate Data Market (RealClime),0x47ac438004d39518792eb96f743a4b952e8462fe,GG19 (Nov 2023),814.477888
Realtime Climate Data Extension (RealClime),0x47ac438004D39518792eb96F743A4b952e8462Fe,Beta (May 2023),309.384096
BÚAN_fund,0x48ea61df42a9d86fcf4763f3f6369e99853f1812,GG19 (Nov 2023),827.117216
B Ú A N _,0x48ea61df42A9D86FCF4763F3f6369E99853F1812,GR15 (Sep 2022),0.91445933
Bundle: Oceans & Forests,0x48f2696fb6fab7ac0956175b2e25b456e61b3fcf,Alpha (Jan 2023),6359.57
Atem - enabling simple and efficient carbon offsetting,0x49971886c6482E6387F2A408CBE1b226B4532EB5,GR13 (Mar 2022),0.58547733
Atem - enabling simple and efficient carbon offsetting,0x49971886c6482E6387F2A408CBE1b226B4532EB5,GR14 (Jun 2022),1.82867174
Funding Fusion Energy Innovation As A Public Good - FrontierDAO,0x4A35674727c44cf4375d80C6171281Ba2f764213,GR15 (Sep 2022),1398.32238
Litter Token,0x4afc0c9a5c4060df2345c5b8c73e8edba2de8e47,GG18 (Aug 2023),3274.88584
"Ama Earth Group - Earth Development Company ""Taking Climate Change into Our Own Hands"" 🔨",0x4afc0c9a5c4060df2345c5b8c73e8edba2de8e47,GG19 (Nov 2023),2156.5329
Neutral Protocol - On-chain carbon derivatives,0x4B52A1feB5eF62D61cEa2834f0E98A03bB5d7656,GR15 (Sep 2022),538.359161
Digital Gaia: An Open Source Ecosystem to Defeat Moloch and Regenerate the Planet,0x4bd87f86824a1577e705489780376da5ad309180,GG18 (Aug 2023),474.137582
Digital Gaia: A Science-Based Co-Pilot to Defeat Moloch and Regenerate the Planet,0x4BD87f86824a1577e705489780376DA5AD309180,Beta (May 2023),4060.78215
Digital Gaia: Proof of Impact for ReFi,0x4BD87f86824a1577e705489780376DA5AD309180,GR13 (Mar 2022),43.0268974
Digital Gaia: Proof of Impact for ReFi,0x4BD87f86824a1577e705489780376DA5AD309180,GR14 (Jun 2022),27217.5363
Digital Gaia: Proof of Impact for ReFi,0x4BD87f86824a1577e705489780376DA5AD309180,GR15 (Sep 2022),759.447299
DeFood: Decentralized Food Security Network (DFSN),0x4be737b450754bc75f1ef0271d3c5da525173f6b,GG18 (Aug 2023),890.518094
DeFood: Decentralized Food Security Network (DFSN),0x4be737b450754bc75f1ef0271d3c5da525173f6b,GG19 (Nov 2023),938.385233
DeFood: Decentralized Food Security Network (DFSN),0x4Be737B450754BC75f1ef0271D3C5dA525173F6b,Beta (May 2023),249.607936
KUMO - Money Backed By Nature,0x4cae80e11fB1fd5C5b18550dA7e7A026F12c4cAF,Beta (May 2023),339.989559
KUMO - Money backed by Nature,0x4cae80e11fB1fd5C5b18550dA7e7A026F12c4cAF,GR13 (Mar 2022),2549.41245
KUMO - Money backed by Nature,0x4cae80e11fB1fd5C5b18550dA7e7A026F12c4cAF,GR14 (Jun 2022),238.759307
KUMO - Money backed by Nature,0x4cae80e11fB1fd5C5b18550dA7e7A026F12c4cAF,GR15 (Sep 2022),9.82583526
Values Index,0x4Deb66B214E44eF01365Bc5E22E09626C71d4148,GR13 (Mar 2022),5724.61414
Values Index,0x4Deb66B214E44eF01365Bc5E22E09626C71d4148,GR14 (Jun 2022),798.262903
Values Index,0x4Deb66B214E44eF01365Bc5E22E09626C71d4148,GR15 (Sep 2022),255.477373
Gaia,0x4e24d773ade7f5c0a23935806c824a9d1e27cd72,GG18 (Aug 2023),1675.72446
Gaia,0x4e24d773ade7f5c0a23935806c824a9d1e27cd72,GG19 (Nov 2023),1515.91067
Alaeris - Carbon Reduction & Reforestation - Planting 1 Trillion Trees,0x4eC7F6Cd89652FD1a367c1492712ae80Ff197C08,GR13 (Mar 2022),3.1650197
Alaeris - Carbon Reduction & Reforestation - Planting 1 Trillion Trees,0x4eC7F6Cd89652FD1a367c1492712ae80Ff197C08,GR14 (Jun 2022),39.9112839
Option: Governance for Profitable Good(s),0x4f8c531df3d97c6Cd437aC8DfE756975445D1161,GR15 (Sep 2022),5.34449641
"Scaling Nature Positive Credits through Digital Measurement, Reporting and Verification",0x4FaF9432F7Dbfe93b67057Bb6aAdDEe6684DEB08,GR15 (Sep 2022),756.692449
Earthist - Decentralize Hemp Seeds,0x5076f87610Ff3D5f859d562a050Dae82F6b3C63e,GR13 (Mar 2022),3215.71601
Earthist - Decentralize Hemp Seeds,0x5076f87610Ff3D5f859d562a050Dae82F6b3C63e,GR14 (Jun 2022),106.894428
Earthist - Decentralize Hemp Seeds,0x5076f87610Ff3D5f859d562a050Dae82F6b3C63e,GR15 (Sep 2022),3086.20532
WEB3 MARKETPLACE FOR A REGENERATIVE ECONOMY,0x50dB3E008d79B632B2cee3b5f984Cbf0f661E476,GR13 (Mar 2022),31420.33
WEB3 MARKETPLACE FOR A REGENERATIVE ECONOMY,0x50dB3E008d79B632B2cee3b5f984Cbf0f661E476,GR14 (Jun 2022),89.3802673
WEB3 MARKETPLACE FOR A REGENERATIVE ECONOMY,0x50dB3E008d79B632B2cee3b5f984Cbf0f661E476,GR15 (Sep 2022),0.89494461
TaterDAO,0x50e9b8e58aceafede65aa111bd211cc52bf64517,Beta (May 2023),1567.34733
Bloom Network,0x5219ffb88175588510e9752a1ecaa3cd217ca783,GG18 (Aug 2023),1856.20032
Bloom Network,0x5219ffb88175588510e9752a1ecaa3cd217ca783,GG19 (Nov 2023),1873.96505
PlantGang,0x5475264b90bba81cd8d159ce98f438e647684a5e,GG18 (Aug 2023),754.309335
Save Pakistan -- The biggest climate crisis 33M+ displaced,0x54e0cD76449570BE004A8C1Ad7ab0AB2bb8982c3,GR15 (Sep 2022),720.818882
GeoNFT & Fractionalizer,0x57E6cf96a2E99a3fdAa79Acc3A14fC9be1Eabc03,Beta (May 2023),14161.5825
Science Fund,0x585cD52bf0206a1ee3Bcc609A06Be74ae9C82Bf1,GR13 (Mar 2022),5992.12987
Science Fund,0x585cD52bf0206a1ee3Bcc609A06Be74ae9C82Bf1,GR14 (Jun 2022),6.31761336
Science Fund,0x585cD52bf0206a1ee3Bcc609A06Be74ae9C82Bf1,GR15 (Sep 2022),298.538808
Climate Attestation Protocol,0x58B36156A268eC1E28aC781554c556E5152f7450,Beta (May 2023),1361.75459
The Decarbonization Warp Drive,0x58B36156A268eC1E28aC781554c556E5152f7450,GR12 (Dec 2021),54679.4735
The Decarbonization Warp Drive,0x58B36156A268eC1E28aC781554c556E5152f7450,GR13 (Mar 2022),16343.8418
The Decarbonization Warp Drive,0x58B36156A268eC1E28aC781554c556E5152f7450,GR14 (Jun 2022),29.8151323
The Decarbonization Warp Drive,0x58B36156A268eC1E28aC781554c556E5152f7450,GR15 (Sep 2022),9.0327785
Delgadito: Making a Better Nursery for Baby Whales,0x59263FB8FE8Ea3171E8d66BEc800d441d85168D3,GR13 (Mar 2022),255.177913
Delgadito: Making a Better Nursery for Baby Whales,0x59263FB8FE8Ea3171E8d66BEc800d441d85168D3,GR14 (Jun 2022),6.15785518
Delgadito: Making a Better Nursery for Baby Whales,0x59263FB8FE8Ea3171E8d66BEc800d441d85168D3,GR15 (Sep 2022),14.4769042
The Impact App + Eco Labs,0x59490c362c54c1b60158f19ce499c82aa3669820,Alpha (Jan 2023),1877.21
🌻 Sunflower EcoTech 🌻 (fka Eco Labs),0x59490c362c54c1b60158f19ce499c82aa3669820,GG18 (Aug 2023),6552.72947
🌻 Sunflower EcoTech 🌻,0x59490c362c54c1b60158f19ce499c82aa3669820,GG19 (Nov 2023),4223.89165
The Impact App + Eco Labs,0x59490C362C54C1b60158F19CE499C82aa3669820,Beta (May 2023),6869.89881
The Impact App + Eco Labs,0x59490C362C54C1b60158F19CE499C82aa3669820,GR14 (Jun 2022),623.338714
The Impact App + Eco Labs,0x59490C362C54C1b60158F19CE499C82aa3669820,GR15 (Sep 2022),5647.73953
The Solar Connection : A solarpunk traveling documentary.,0x598027C3dC18E6E0576139e2c345eC3BfcFd8E5E,GR15 (Sep 2022),145.478892
INFINITRI: A new way of forest preservation and regeneration,0x5a640aC15E7cA26e6067B2F8dd53a7142016b596,GR15 (Sep 2022),691.783982
Embed Renewable Energy into anything digital with NFT REC fractions. (we're Zero Labs & we're live 🚀),0x5aDaC46a2C4e8471681F3feF216904EAA8961B16,GR13 (Mar 2022),1008.52496
Embed Renewable Energy into anything digital with NFT REC fractions. (we're Zero Labs & we're live 🚀),0x5aDaC46a2C4e8471681F3feF216904EAA8961B16,GR14 (Jun 2022),42.6520002
Embed Renewable Energy into anything digital with NFT REC fractions. (we're Zero Labs & we're live 🚀),0x5aDaC46a2C4e8471681F3feF216904EAA8961B16,GR15 (Sep 2022),41.7562651
SANE Foundation: Pioneering Web3 Climate Solutions in Bioregions Worldwide,0x5adccac4f36b095ffb0aa8f43f59f39f52ee7fb3,GG18 (Aug 2023),55.1590013
The Solar Foundation,0x5b625088ee2e0e9e3d0bd8ab6ba3839d68886d2d,Alpha (Jan 2023),10809.79
Spark Eco and Helios - the Solar Foundation - Funding solar together,0x5B625088Ee2E0E9E3D0BD8AB6Ba3839d68886d2D,GR13 (Mar 2022),22274.7104
Spark Eco and Helios - the Solar Foundation - Funding solar together,0x5B625088Ee2E0E9E3D0BD8AB6Ba3839d68886d2D,GR14 (Jun 2022),3534.22466
Spark Eco and Helios - the Solar Foundation - Funding solar together,0x5B625088Ee2E0E9E3D0BD8AB6Ba3839d68886d2D,GR15 (Sep 2022),7706.32111
Knysna Alien Busters,0x5C3f7b8e269CdF055D9DC4cE10d7444D61377D8f,Beta (May 2023),309.312282
Pellet stoves and solar panels for rural Namibian community,0x5cd129ec3244664138bc80ee9216e676b3dac847,GG18 (Aug 2023),618.58022
Renewable energy &tree-planting for rural Namibian community,0x5cD129EC3244664138Bc80EE9216e676b3dac847,GR13 (Mar 2022),2491.73038
Renewable energy &tree-planting for rural Namibian community,0x5cD129EC3244664138Bc80EE9216e676b3dac847,GR14 (Jun 2022),3364.22963
Renewable energy &tree-planting for rural Namibian community,0x5cD129EC3244664138Bc80EE9216e676b3dac847,GR15 (Sep 2022),625.493171
xParametric,0x5d3c1d640ed1e3c9fa131ac21c0972ad4a328621,GG19 (Nov 2023),1201.44499
Developing commodified measures of underground carbon sequestration and biodiversity: Creating a Regen Network methodology,0x5e536919aBc2B0dF86de137d4BA17aB95021509d,GR14 (Jun 2022),2.23889775
Developing commodified measures of underground carbon sequestration and biodiversity: Creating a Regen Network methodology,0x5e536919aBc2B0dF86de137d4BA17aB95021509d,GR15 (Sep 2022),0.39818872
Greenpill digital campfire,0x5E968e92a1fED01A32bbDD9D20e49Cb8299eAC5b,GR13 (Mar 2022),140.504049
Greenpill digital campfire,0x5E968e92a1fED01A32bbDD9D20e49Cb8299eAC5b,GR14 (Jun 2022),1.23824872
"Ayowecca Uganda : Training rural farmers & indigenous communities on regenerative agriculture, providing women & girls with new skills for economic empowerment and planting fruit trees in school & health centers",0x60f02cc8b0ce8779d3e60902e1be216f70d08b11,GG19 (Nov 2023),2282.89623
Earthshot - Restoring Humanity’s Relationship With Nature,0x619A259907a647D8b7B8b0c00611BdFDeef35eE6,GR14 (Jun 2022),1.31659779
WaterDAO,0x61c515fe1a0194db6d012a1fcc392eceba03818c,GG18 (Aug 2023),5739.24412
WaterDAO,0x61c515fe1a0194db6d012a1fcc392eceba03818c,GG19 (Nov 2023),1932.33958
R3WILD,0x61f67995bd9e1ce55bb93e462d9ec26d2412bef6,GG18 (Aug 2023),1421.70327
R3WILD,0x61f67995bd9e1ce55bb93e462d9ec26d2412bef6,GG19 (Nov 2023),1255.07727
R3WILD,0x61F67995bd9E1ce55bb93E462d9EC26d2412BEf6,Beta (May 2023),2407.14582
Decentralized Desires (Studio-Lab) / Former: Dynamic Energy Budget,0x62edAaC42aDd454EBf7f228F50EC8093ea446176,GR13 (Mar 2022),107.047733
Decentralized Desires (Studio-Lab) / Former: Dynamic Energy Budget,0x62edAaC42aDd454EBf7f228F50EC8093ea446176,GR14 (Jun 2022),0.28350272
Decentralized Desires (Studio-Lab) / Former: Dynamic Energy Budget,0x62edAaC42aDd454EBf7f228F50EC8093ea446176,GR15 (Sep 2022),10.7526366
Next Generation Probiotics for Green Agriculture.,0x632fd6d5e53a8661e751a964c9d7c9aa63ecaa5a,GG19 (Nov 2023),435.80722
Defi Biolabs is developing carbon removal biotechnology.,0x632Fd6D5E53A8661e751a964c9d7c9aa63Ecaa5A,GR15 (Sep 2022),1235.10203
Ogallala Life,0x63757e9c621AE7963F2DB2C7F02A1CDD89d6375D,GR13 (Mar 2022),88.3216955
Ogallala Life,0x63757e9c621AE7963F2DB2C7F02A1CDD89d6375D,GR14 (Jun 2022),71.8122672
Ogallala Life,0x63757e9c621AE7963F2DB2C7F02A1CDD89d6375D,GR15 (Sep 2022),1273.9125
Rainforest Monitoring Lab by GainForest & LabDAO: Radical transparency for nature-based solutions with DeSci & Web3,0x64BC15E0A5A12dDbe321EEDD832d057775D11F56,GR15 (Sep 2022),3197.97089
AgroforestDAO,0x64f444039fa1965bd2456bee13bdebc5a0765a12,GG18 (Aug 2023),4083.00518
AgroforestDAO,0x64f444039fa1965bd2456bee13bdebc5a0765a12,GG19 (Nov 2023),2483.11876
Cosmos for Humanity | C4H,0x65ad2bf7e09af2597c140df6386a3003d0f5f8ee,GG18 (Aug 2023),3002.47831
Cosmos for Humanity | C4H,0x65ad2bf7e09af2597c140df6386a3003d0f5f8ee,GG19 (Nov 2023),876.775997
Cosmos for Humanity | C4H,0x65ad2BF7E09af2597C140dF6386a3003d0F5f8Ee,Beta (May 2023),1079.65225
Cosmos for Humanity - C4H,0x65ad2BF7E09af2597C140dF6386a3003d0F5f8Ee,GR15 (Sep 2022),186.121164
CyberBox ReFi NFT Marketplace,0x65ed9a7cd4890e23ac5bc8d51498ae955af00724,Alpha (Jan 2023),2889.17
CyberBox ReFi NFT Marketplace,0x65eD9a7CD4890E23Ac5bc8D51498ae955aF00724,GR15 (Sep 2022),3845.23464
Etherisc - Affordable Crop Insurance through Carbon Farming,0x66cc6b159ef53e136784db62c30c7e200ef7e1d6,GG18 (Aug 2023),757.407033
RegenBuild,0x6713378883c633b26ba59a43d025a303541e1c95,GG18 (Aug 2023),2109.59198
RegenBuild 🏡,0x6713378883c633b26ba59a43d025a303541e1c95,GG19 (Nov 2023),1791.6996
"Moonjelly - High Quality Data to Protect Whales, Restore the Ocean, and Fight Climate Change",0x681044A9b8c0Ec3699e763943ccDA3B163dF18d1,GR13 (Mar 2022),16039.0525
"Moonjelly - High Quality Data to Protect Whales, Restore the Ocean, and Fight Climate Change",0x681044A9b8c0Ec3699e763943ccDA3B163dF18d1,GR14 (Jun 2022),62.3409896
"Moonjelly - High Quality Data to Protect Whales, Restore the Ocean, and Fight Climate Change",0x681044A9b8c0Ec3699e763943ccDA3B163dF18d1,GR15 (Sep 2022),511.026902
Return Protocol - Passive chain agnostic offsetting,0x683E9D1295308165f00E6EA4B593F41DF265E263,GR13 (Mar 2022),22256.1695
Crypto Whales NFT by Highly Artistic,0x6ad87d0b36d3449d7c844051d92115f087867d85,GG19 (Nov 2023),897.981315
ColtonArt - Regen Art & Fundraising,0x6B5918D8EF9094679F4b4e1Bf397a66eA411B118,GR15 (Sep 2022),1982.18904
Wild Friends (with Senda Verde Bolivia),0x6b9281a066bf64df7343c2cfdfa40334b4b2773b,GG19 (Nov 2023),812.351366
Regen Tribe,0x6c4388856dc1ab52d246dde9bb441f4cdaf759be,GG19 (Nov 2023),662.566346
ExoSmart: Pioneering Sustainable Agriculture,0x6c8ac916e3be062a563c2f706be0593d91e72d94,GG19 (Nov 2023),526.429004
Veganize your city,0x6C906B01Dda3b6cDb7680C4Ce60449640aA867F3,GR14 (Jun 2022),12.9006799
Afrocarb,0x6d0575e84de09eb2e16285a36aba577f8faa8235,GG18 (Aug 2023),361.051637
Clean Air Task Force,0x6dBE905B7660bA9B62c5aA360699f93759f9f15b,GR12 (Dec 2021),3443.43146
Clean Air Task Force,0x6dBE905B7660bA9B62c5aA360699f93759f9f15b,GR13 (Mar 2022),119.29515
Clean Air Task Force,0x6dBE905B7660bA9B62c5aA360699f93759f9f15b,GR14 (Jun 2022),4316.80843
Clean Air Task Force,0x6dBE905B7660bA9B62c5aA360699f93759f9f15b,GR15 (Sep 2022),320.745849
Project “Eco-Giving Accountability”: Building Bridges Between Communities and Socially Conscious Donors,0x6e73f3166b2f737e967592f3d9d5a0bdebca0ed8,GG18 (Aug 2023),526.928344
Climate and Online Access Advocacy Training For Indigenous Group,0x6E73f3166B2F737E967592F3d9D5a0BdeBcA0ed8,GR13 (Mar 2022),8.63656286
Climate and Online Access Advocacy Training For Indigenous Group,0x6E73f3166B2F737E967592F3d9D5a0BdeBcA0ed8,GR14 (Jun 2022),1.25207006
Climate and Online Access Advocacy Training For Indigenous Group,0x6E73f3166B2F737E967592F3d9D5a0BdeBcA0ed8,GR15 (Sep 2022),16.1808284
Jerri.wtf,0x6efc035506350c79b726dc44b583d01b8b002990,GG18 (Aug 2023),766.860007
Jerri.wtf,0x6efc035506350c79b726dc44b583d01b8b002990,GG19 (Nov 2023),1267.46701
Healing Coral,0x7119C556dE71Cc53965E5Be318c9Dd4B49eC15E4,Beta (May 2023),1215.99875
EcoSynthesisX,0x7380a42137d16a0e7684578d8b3d32e1fbd021b5,GG19 (Nov 2023),1732.56632
disCarbon - reversing climate change with web3 & open source,0x74966dDAAE16B3506bc575276Af7E391e3b4d296,GR15 (Sep 2022),101.601443
Kangra Gardens: Journey Through Life,0x75cC37322D9eE1cE441a4e486217Dcc71A086Aa1,GR15 (Sep 2022),0.91895744
SproutUp: Turn Good Deeds into NFT Impact Certificates,0x763debb2dDFe4655fdA0871Aae8FDFb386C36b23,GR15 (Sep 2022),22.8113418
Climate Wiki by Branch Out,0x771713B1D34173951Ffc8199665cED3313b9061B,GR13 (Mar 2022),880.904419
Climate Wiki by Branch Out,0x771713B1D34173951Ffc8199665cED3313b9061B,GR14 (Jun 2022),12.3115884
Gigawatt,0x782478549cd455532b2f8c43b7e6b28302da27ed,GG18 (Aug 2023),1642.90886
dMeter,0x788bd114c3f625600b547d5a08ec38e0ee90a06e,Alpha (Jan 2023),1896.07
dMeter,0x788bd114C3f625600b547d5a08EC38E0ee90A06e,Beta (May 2023),4871.84403
Vanara - Art & Hemp Crafts,0x78C96850dFacEDe6C9235F50Da3FB688270F4509,GR13 (Mar 2022),1019.61896
Vanara - Art & Hemp Crafts,0x78C96850dFacEDe6C9235F50Da3FB688270F4509,GR14 (Jun 2022),58.1929353
Vanara - Art & Hemp Crafts,0x78C96850dFacEDe6C9235F50Da3FB688270F4509,GR15 (Sep 2022),268.245115
Bundle: Agriculture,0x78dc08c6f14e26b2c91edae9a6e03eed7ae5218b,Alpha (Jan 2023),10516.01
Kawagumba village: a Kenyan community farm project,0x79048924F9151d6F922DAC0Ed47bD25c2c7AbABA,Beta (May 2023),2207.4233
DexGrid Community Microgrids,0x7aA2daB71ADeF6e9172F836904fcD562E56da3b5,Beta (May 2023),202.804388
People's Land Bank service DAO,0x7AF28d13387ed464a3E0eF3B55437D741fCC9b11,GR15 (Sep 2022),22.778071
Earthbanc Protocol - merging digital MRV and carbon finance.,0x7B9bB0200327e2A5a02df03e27b1c89098dFFDd3,GR14 (Jun 2022),39.0467186
Earthbanc Protocol - merging digital MRV and carbon finance.,0x7B9bB0200327e2A5a02df03e27b1c89098dFFDd3,GR15 (Sep 2022),0.38690351
"Mi Costa De Oro, Autonomous and Regenerative Community Rooted in Action (Venezuela)",0x7ca809c9f505fb3f5a42383c4b07ffc27b8a19c8,GG18 (Aug 2023),1342.50214
"Mi Costa De Oro, Autonomous and Regenerative Community Rooted in Action (Venezuela)",0x7ca809c9f505fb3f5a42383c4b07ffc27b8a19c8,GG19 (Nov 2023),1074.34287
Commonplace Guild - Scaling web3 place-based decarbonization,0x7e35231B1b8c04Aa820d21A6281Bd8412BDCE576,GR13 (Mar 2022),41.9720083
Commonplace Guild - Scaling web3 place-based decarbonization,0x7e35231B1b8c04Aa820d21A6281Bd8412BDCE576,GR14 (Jun 2022),0.09485514
Jardin de Estrellas Eco Village,0x7EEF7112b9be3802D88936F96140172f045D3531,GR14 (Jun 2022),29.2304679
Spirals - Climate Impact Staking on Celo,0x7F4765A8c1F9f782fDC98FcDCcED1EB10a5C1220,GR14 (Jun 2022),4936.42818
Saving forests in Colombia with KOKO DAO,0x7f722b8b013ac7bd654b3b102acc7573a32db9bc,Alpha (Jan 2023),3771.14
KOKO DAO saving forests in Colombia,0x7f722b8b013ac7bd654b3b102acc7573a32db9bc,GG18 (Aug 2023),6747.75452
KOKO DAO saving forests in Colombia,0x7f722b8b013ac7bd654b3b102acc7573a32db9bc,GG19 (Nov 2023),3150.80673
KOKO DAO saving forests in Colombia,0x7f722b8b013Ac7Bd654B3B102Acc7573A32DB9bc,Beta (May 2023),9527.43802
Saving forests in Colombia with KOKO DAO,0x7f722b8b013Ac7Bd654B3B102Acc7573A32DB9bc,GR15 (Sep 2022),3805.88195
MRV 101,0x7fc1a3D5264a2B2563162EbAF17180ED2e5804BC,GR15 (Sep 2022),11239.1324
We Make Impact - Exponentially Reversing Climate Change,0x7fE8c28f258806E86DA3F599453f39f01749fbf5,GR15 (Sep 2022),128.111111
Climate Guardians Game,0x80B815c829150D5535e8DD97339a98e650030EbE,GR15 (Sep 2022),764.631263
Urbanika and the Climate Positive Bus,0x81bfca6d81a00b0bcca2ffa9f6ca23d6bf3e2bbb,GG19 (Nov 2023),1576.64134
Treejer Protocol,0x81c776d0d7f7d9d3699851993ecaa88a46187f11,Alpha (Jan 2023),8581.38
Treejer Protocol,0x81c776d0d7f7d9d3699851993ecaa88a46187f11,GG18 (Aug 2023),1867.08223
Treejer Protocol,0x81c776d0D7F7d9D3699851993EcAa88A46187F11,Beta (May 2023),3335.30399
Treejer: A Climate Action Protocol,0x81c776d0D7F7d9D3699851993EcAa88A46187F11,GR12 (Dec 2021),9366.82901
Treejer: A Climate Action Protocol,0x81c776d0D7F7d9D3699851993EcAa88A46187F11,GR13 (Mar 2022),28693.4987
Treejer: A Climate Action Protocol,0x81c776d0D7F7d9D3699851993EcAa88A46187F11,GR14 (Jun 2022),8126.80875
Treejer: A Climate Action Protocol,0x81c776d0D7F7d9D3699851993EcAa88A46187F11,GR15 (Sep 2022),9008.02128
impactdao.game,0x82c4d6f212F30701234aDbFfbB5ed8D65B06910C,GR13 (Mar 2022),3805.87347
impactdao.game,0x82c4d6f212F30701234aDbFfbB5ed8D65B06910C,GR14 (Jun 2022),75000
impactdao.game,0x82c4d6f212F30701234aDbFfbB5ed8D65B06910C,GR15 (Sep 2022),120.993762
Future Diaries,0x82d2173645fd452134807ceea12e4cc687f59009,GR13 (Mar 2022),14.0256494
Future Diaries,0x82d2173645fd452134807ceea12e4cc687f59009,GR14 (Jun 2022),29.8381001
Future Diaries,0x82d2173645fd452134807ceea12e4cc687f59009,GR15 (Sep 2022),6.95611665
Ranna: Filmmakers for Climate,0x82d4f37d3a5ebf9b7d89e9d83e1fc59dad3e97af,GG18 (Aug 2023),373.012746
